gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_08021 	10	0	0	0	185	12	66	0	34	0	263	0	67	26	0	327	31	0	64	104	0	74	20	1	0	0	0
P9301_08031 	159	33	26	0	14	45	404	4	307	0	512	0	854	235	0	1177	288	0	95	84	0	757	45	2	4	0	0
P9301_08041 	1	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
P9301_08051 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	3	0	0	0	0	0
P9301_08061 	20	0	0	0	78	10	17	0	12	0	12	0	18	48	0	84	3	0	14	35	0	110	2	17	37	0	0
P9301_08071 	60	0	0	0	10	65	29	13	69	0	117	0	73	46	0	443	24	0	0	0	0	190	0	0	0	0	0
P9301_08081 	0	5	0	0	0	0	2	0	3	0	1	0	0	8	0	6	2	0	0	0	0	7	0	0	0	0	0
P9301_08091 	6	0	0	0	1	79	20	7	13	0	40	0	21	61	0	173	7	0	29	8	0	241	20	0	37	0	0
P9301_08101 	94	1	0	0	99	83	77	13	95	0	261	0	135	64	0	691	91	0	0	74	0	424	48	17	79	0	0
P9301_08111 	139	3	0	0	24	45	135	0	139	4	118	0	104	65	0	433	97	0	37	31	0	450	25	8	0	0	0
P9301_08121 	27	0	2	0	35	20	21	17	85	0	51	0	31	51	12	237	30	0	30	54	0	226	0	0	0	0	0
P9301_08131 	1219	63	0	0	224	875	827	114	2140	41	1512	0	1353	2082	112	4208	1068	0	472	1276	0	5857	1141	276	32	0	1
P9301_08141 	204	60	0	0	191	240	202	13	718	14	468	0	522	809	34	957	471	0	172	310	0	1536	96	119	31	15	0
P9301_08151 	1	0	0	0	0	0	0	0	10	0	0	0	5	35	0	12	2	0	0	2	0	49	0	0	48	0	0
P9301_08161 	18	0	0	0	75	1	13	0	15	0	30	0	12	0	0	76	14	0	37	75	0	44	34	2	22	0	0
P9301_08171 	1	0	0	0	12	0	0	0	5	0	18	0	3	0	0	22	1	0	1	29	0	25	1	15	0	0	0
P9301_08181 	396	12	0	0	419	950	512	9	212	0	1081	0	496	367	8	3565	199	0	444	453	0	1264	379	290	65	0	0
P9301_08191 	165	7	0	0	213	122	95	34	187	3	242	0	169	129	6	555	197	0	191	173	0	979	174	13	20	0	0
P9301_08201 	80	0	0	0	351	10	168	0	120	0	557	0	175	56	13	288	451	1	133	337	0	668	366	21	0	0	0
P9301_08211 	0	0	0	0	10	0	0	4	1	0	4	0	0	0	0	10	6	0	0	5	0	9	18	1	0	0	0
P9301_08221 	248	22	0	0	116	190	374	10	289	14	853	0	477	507	21	1996	480	1	110	303	0	1410	241	25	85	0	0
P9301_08231 	3	0	0	0	0	0	2	0	0	0	12	0	1	0	0	12	0	0	0	0	0	7	19	0	0	0	0
P9301_08241 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
